user_id,event_id,event_category,interaction_type,engagement_score,label
86,24,entretenimiento,view,0,0
45,10,otro,save,2,1
76,114,gastronomico,view,0,0
9,199,cultural,view,1,1
136,594,gastronomico,save,2,1
70,436,deportivo,save,2,1
187,582,deportivo,view,0,0
19,81,otro,interested,2,1
185,103,cultural,save,2,1
185,457,deportivo,view,1,1
102,470,otro,interested,2,1
20,443,otro,uninterested,0,0
49,435,cultural,save,2,1
62,50,deportivo,view,0,0
121,149,otro,interested,2,1
199,384,otro,save,2,1
46,279,entretenimiento,view,0,0
53,433,entretenimiento,view,1,1
68,65,cultural,view,1,1
4,226,cultural,view,0,0
73,471,gastronomico,view,0,0
162,221,deportivo,save,2,1
142,373,gastronomico,view,1,1
113,597,gastronomico,view,1,1
178,324,gastronomico,save,2,1
169,80,gastronomico,save,2,1
143,85,entretenimiento,view,0,0
135,544,cultural,save,2,1
172,389,otro,save,2,1
159,244,otro,uninterested,0,0
5,290,gastronomico,save,2,1
125,384,otro,uninterested,0,0
33,125,gastronomico,save,2,1
54,584,otro,view,1,1
40,410,otro,view,0,0
90,428,cultural,uninterested,0,0
71,380,deportivo,view,1,1
175,325,deportivo,save,2,1
136,344,entretenimiento,interested,2,1
73,460,gastronomico,view,0,0
45,349,otro,interested,2,1
195,497,cultural,uninterested,0,0
98,498,gastronomico,save,2,1
162,107,cultural,interested,2,1
128,584,otro,interested,2,1
5,104,otro,save,2,1
120,379,otro,view,1,1
153,398,gastronomico,save,2,1
49,165,gastronomico,view,0,0
185,179,entretenimiento,view,0,0
182,330,gastronomico,view,0,0
16,211,otro,view,0,0
117,138,deportivo,interested,2,1
118,576,cultural,interested,2,1
84,163,entretenimiento,save,2,1
184,7,entretenimiento,interested,2,1
174,532,entretenimiento,uninterested,0,0
98,327,gastronomico,interested,2,1
137,34,gastronomico,save,2,1
185,70,gastronomico,view,1,1
183,450,deportivo,view,0,0
31,546,cultural,interested,2,1
192,173,gastronomico,view,0,0
168,579,gastronomico,save,2,1
24,548,gastronomico,interested,2,1
125,266,otro,view,0,0
176,510,cultural,view,1,1
70,81,otro,save,2,1
6,396,entretenimiento,save,2,1
74,360,otro,interested,2,1
121,301,cultural,view,0,0
177,348,gastronomico,interested,2,1
65,28,otro,interested,2,1
149,172,entretenimiento,save,2,1
130,529,gastronomico,view,0,0
158,352,otro,save,2,1
150,321,entretenimiento,view,0,0
96,496,otro,save,2,1
134,520,deportivo,view,1,1
171,350,gastronomico,view,0,0
52,384,otro,interested,2,1
30,365,deportivo,save,2,1
145,12,deportivo,interested,2,1
134,207,gastronomico,view,1,1
8,386,gastronomico,save,2,1
69,592,entretenimiento,interested,2,1
114,170,entretenimiento,save,2,1
189,136,deportivo,interested,2,1
116,356,otro,view,1,1
190,77,otro,save,2,1
15,354,deportivo,interested,2,1
122,80,gastronomico,view,1,1
162,71,otro,save,2,1
121,358,deportivo,view,1,1
124,368,otro,save,2,1
28,453,entretenimiento,uninterested,0,0
49,5,cultural,view,1,1
104,504,deportivo,save,2,1
84,412,otro,view,1,1
136,453,entretenimiento,save,2,1
79,114,gastronomico,uninterested,0,0
46,328,cultural,save,2,1
41,432,otro,view,1,1
113,228,gastronomico,view,1,1
27,218,entretenimiento,view,0,0
78,295,deportivo,view,1,1
76,215,deportivo,save,2,1
39,495,entretenimiento,save,2,1
43,160,deportivo,view,1,1
132,426,deportivo,interested,2,1
68,310,cultural,uninterested,0,0
77,191,deportivo,interested,2,1
190,506,gastronomico,save,2,1
195,31,entretenimiento,uninterested,0,0
90,143,otro,uninterested,0,0
196,267,gastronomico,interested,2,1
65,11,otro,view,1,1
97,469,deportivo,save,2,1
128,139,gastronomico,view,1,1
41,470,otro,save,2,1
11,399,gastronomico,interested,2,1
180,384,otro,save,2,1
15,180,entretenimiento,save,2,1
112,113,cultural,view,0,0
191,484,deportivo,view,1,1
38,158,cultural,save,2,1
112,348,gastronomico,interested,2,1
35,69,otro,uninterested,0,0
179,321,entretenimiento,uninterested,0,0
92,456,cultural,interested,2,1
54,133,otro,save,2,1
85,154,deportivo,view,1,1
191,143,otro,view,0,0
105,76,gastronomico,interested,2,1
15,524,gastronomico,view,0,0
144,586,entretenimiento,save,2,1
83,503,otro,view,1,1
85,77,otro,save,2,1
142,544,cultural,view,1,1
131,89,deportivo,save,2,1
119,195,otro,uninterested,0,0
196,283,otro,view,0,0
189,46,deportivo,view,1,1
147,20,cultural,save,2,1
75,4,deportivo,view,1,1
82,167,cultural,save,2,1
196,430,entretenimiento,interested,2,1
197,363,gastronomico,interested,2,1
183,156,deportivo,view,0,0
37,128,gastronomico,view,1,1
154,40,cultural,uninterested,0,0
138,201,entretenimiento,interested,2,1
58,206,entretenimiento,view,0,0
108,238,gastronomico,uninterested,0,0
55,27,deportivo,view,0,0
112,34,gastronomico,save,2,1
190,213,entretenimiento,view,0,0
114,122,entretenimiento,interested,2,1
151,95,deportivo,uninterested,0,0
129,528,deportivo,view,1,1
193,418,gastronomico,interested,2,1
81,63,cultural,interested,2,1
92,543,gastronomico,view,1,1
97,409,entretenimiento,uninterested,0,0
25,489,deportivo,view,1,1
166,120,gastronomico,interested,2,1
99,16,entretenimiento,uninterested,0,0
70,331,deportivo,view,1,1
63,77,otro,save,2,1
35,39,cultural,view,1,1
53,300,gastronomico,view,1,1
106,429,entretenimiento,view,0,0
132,185,otro,view,1,1
28,30,otro,view,0,0
78,560,entretenimiento,interested,2,1
159,191,deportivo,view,1,1
120,281,cultural,view,1,1
96,537,deportivo,view,1,1
25,50,deportivo,save,2,1
16,307,entretenimiento,uninterested,0,0
137,15,gastronomico,view,1,1
120,263,cultural,view,1,1
168,570,gastronomico,save,2,1
146,323,deportivo,view,1,1
36,457,deportivo,view,1,1
103,142,deportivo,save,2,1
47,308,cultural,view,0,0
118,532,entretenimiento,view,0,0
68,134,deportivo,view,0,0
95,593,entretenimiento,interested,2,1
8,394,cultural,save,2,1
50,14,entretenimiento,view,1,1
8,243,entretenimiento,view,0,0
82,312,cultural,interested,2,1
48,591,cultural,save,2,1
54,352,otro,save,2,1
190,393,gastronomico,uninterested,0,0
47,543,gastronomico,interested,2,1
171,531,entretenimiento,view,0,0
93,174,gastronomico,view,1,1
117,123,otro,view,0,0
75,168,deportivo,save,2,1
141,84,entretenimiento,uninterested,0,0
129,88,deportivo,interested,2,1
56,203,deportivo,interested,2,1
90,396,entretenimiento,interested,2,1
134,419,gastronomico,save,2,1
177,543,gastronomico,view,1,1
40,285,gastronomico,interested,2,1
192,553,entretenimiento,uninterested,0,0
156,180,entretenimiento,view,1,1
102,283,otro,save,2,1
34,307,entretenimiento,view,0,0
64,319,deportivo,view,1,1
187,68,gastronomico,view,0,0
105,214,gastronomico,interested,2,1
62,498,gastronomico,save,2,1
49,52,cultural,view,1,1
70,75,deportivo,interested,2,1
149,155,cultural,view,0,0
36,335,gastronomico,view,0,0
30,137,gastronomico,interested,2,1
153,194,entretenimiento,interested,2,1
138,465,deportivo,view,1,1
193,349,otro,interested,2,1
10,71,otro,save,2,1
109,503,otro,save,2,1
133,163,entretenimiento,interested,2,1
170,588,entretenimiento,save,2,1
14,286,cultural,uninterested,0,0
187,423,entretenimiento,save,2,1
107,257,deportivo,uninterested,0,0
21,302,gastronomico,save,2,1
56,59,deportivo,uninterested,0,0
181,574,otro,save,2,1
155,40,cultural,save,2,1
151,100,gastronomico,view,0,0
30,244,otro,view,0,0
172,431,gastronomico,uninterested,0,0
183,355,cultural,save,2,1
112,587,cultural,uninterested,0,0
9,442,deportivo,save,2,1
6,14,entretenimiento,interested,2,1
84,550,otro,view,1,1
116,259,entretenimiento,save,2,1
174,339,gastronomico,save,2,1
12,509,otro,interested,2,1
53,376,gastronomico,interested,2,1
192,318,cultural,interested,2,1
85,454,deportivo,interested,2,1
58,128,gastronomico,uninterested,0,0
23,320,gastronomico,interested,2,1
163,252,gastronomico,save,2,1
181,578,cultural,save,2,1
92,172,entretenimiento,view,0,0
28,528,deportivo,save,2,1
164,229,otro,interested,2,1
19,443,otro,save,2,1
169,88,deportivo,interested,2,1
136,449,gastronomico,view,1,1
188,300,gastronomico,interested,2,1
21,266,otro,interested,2,1
62,34,gastronomico,save,2,1
177,251,cultural,interested,2,1
112,221,deportivo,view,0,0
75,435,cultural,save,2,1
112,491,gastronomico,view,1,1
132,367,otro,interested,2,1
99,372,deportivo,uninterested,0,0
67,298,gastronomico,view,1,1
91,107,cultural,view,1,1
179,65,cultural,uninterested,0,0
129,548,gastronomico,view,0,0
154,443,otro,interested,2,1
141,229,otro,save,2,1
147,471,gastronomico,interested,2,1
127,586,entretenimiento,uninterested,0,0
5,195,otro,save,2,1
180,37,otro,uninterested,0,0
70,443,otro,save,2,1
110,136,deportivo,uninterested,0,0
55,317,deportivo,view,0,0
172,360,otro,interested,2,1
130,147,otro,uninterested,0,0
174,80,gastronomico,interested,2,1
91,387,otro,view,1,1
105,199,cultural,view,0,0
153,183,gastronomico,interested,2,1
7,506,gastronomico,interested,2,1
84,367,otro,interested,2,1
175,217,deportivo,interested,2,1
35,187,otro,view,0,0
90,516,deportivo,view,1,1
23,252,gastronomico,save,2,1
