title,description,category,location,latitude,longitude,date_start,price,image_url,quality_ml,text
Torneo de fútbol amateur en Metropolitano,participa torneo de fútbol amateur. Guadalajara.,deportivo,Zapopan Centro,,,2026-08-11T19:59:30.706410+00:00,0.0,,0.425,Torneo de fútbol amateur en Metropolitano participa torneo de fútbol amateur. Guadalajara.
Mercado de pulgas y antigüedades con instalación artística interactiva,Conoce mercado de pulgas y antigüedades en el Coworking 44. evento gratuito con registro previo. Evento organizado por la comunidad tapatía para celebrar la cultura y el talento local. Habrá actividades para todos los gustos y edades. Consulta el programa completo en nuestras redes sociales. transmisión en línea disponible. concurso de recetas tradicionales.,otro,Estadio Jalisco,20.65401229116217,-103.34578269612226,2026-08-14T19:59:30.709994+00:00,100.0,,0.8,Mercado de pulgas y antigüedades con instalación artística interactiva Conoce mercado de pulgas y antigüedades en el Coworking 44. evento gratuito con registro previo. Evento organizado por la comunidad tapatía para celebrar la cultura y el talento local. Habrá actividades para todos los gustos y edades. Consulta el programa completo en nuestras redes sociales. transmisión en línea disponible. concurso de recetas tradicionales.
Expo de Tecnología con Cena Maridaje Gourmet,"Hackathon de 24 horas con estación de café de especialidad y food trucks. Ponentes con experiencia internacional, certificado de participación. Materiales y kit digital incluidos. domingo.",otro,Bosque de la Primavera,20.634741005317384,-103.21610738408754,2026-05-21T19:59:30.711256+00:00,0.0,,0.7,"Expo de Tecnología con Cena Maridaje Gourmet Hackathon de 24 horas con estación de café de especialidad y food trucks. Ponentes con experiencia internacional, certificado de participación. Materiales y kit digital incluidos. domingo."
Lectura de narrativa contemporánea con feria de adopción de mascotas,"Lectura de narrativa contemporánea se presenta en la Galería Jorge Martínez. obra premiada a nivel nacional. Esta es una oportunidad única para vivir una experiencia cultural en el corazón de Guadalajara. Organizado por colectivos locales con más de diez años de trayectoria. Cupo limitado, reserva ya. todos bienvenidos.",cultural,Centro Cultural Cabañas,20.62950226913285,-103.23859174266751,2026-08-03T19:59:30.706036+00:00,150.0,https://cdn.gdlquehacer.mx/img/evento_02.jpg,1.0,"Lectura de narrativa contemporánea con feria de adopción de mascotas Lectura de narrativa contemporánea se presenta en la Galería Jorge Martínez. obra premiada a nivel nacional. Esta es una oportunidad única para vivir una experiencia cultural en el corazón de Guadalajara. Organizado por colectivos locales con más de diez años de trayectoria. Cupo limitado, reserva ya. todos bienvenidos."
Cook-off de pozole con muestra fotográfica,"Disfruta cook-off de pozole en el Mercado Corona. maridaje explicado por sommelier. Un evento imperdible para toda la comunidad tapatía, con actividades diseñadas para disfrutar en familia o con amigos. Entrada libre o boletos a precio accesible. ¡No te quedes fuera! al aire libre. música en vivo durante el evento.",gastronomico,Parque Metropolitano,20.669949585231347,-103.38549472882934,2026-06-21T19:59:30.707373+00:00,0.0,https://cdn.gdlquehacer.mx/img/evento_01.jpg,1.0,"Cook-off de pozole con muestra fotográfica Disfruta cook-off de pozole en el Mercado Corona. maridaje explicado por sommelier. Un evento imperdible para toda la comunidad tapatía, con actividades diseñadas para disfrutar en familia o con amigos. Entrada libre o boletos a precio accesible. ¡No te quedes fuera! al aire libre. música en vivo durante el evento."
Vive el tarde de magia y ilusionismo en Guadalajara,"Tarde de magia y ilusionismo se presenta en la Expo Guadalajara. para toda la familia. Esta es una oportunidad única para vivir una experiencia cultural en el corazón de Guadalajara. Organizado por colectivos locales con más de diez años de trayectoria. Cupo limitado, reserva ya. zona metropolitana.",entretenimiento,Lago de Chapala,20.648235119515544,-103.26307658321568,2026-06-05T19:59:30.708573+00:00,100.0,https://cdn.gdlquehacer.mx/img/evento_03.jpg,1.0,"Vive el tarde de magia y ilusionismo en Guadalajara Tarde de magia y ilusionismo se presenta en la Expo Guadalajara. para toda la familia. Esta es una oportunidad única para vivir una experiencia cultural en el corazón de Guadalajara. Organizado por colectivos locales con más de diez años de trayectoria. Cupo limitado, reserva ya. zona metropolitana."
Taller de serigrafía con ruta del mezcal artesanal,Vive taller de serigrafía en la Biblioteca Pública de Jalisco. colección permanente y temporal. familia. zona de descanso habilitada.,cultural,Jardín Botánico GDL,20.61480164334974,-103.37244575058482,2026-04-21T19:59:30.705293+00:00,50.0,https://cdn.gdlquehacer.mx/img/evento_01.jpg,0.8,Taller de serigrafía con ruta del mezcal artesanal Vive taller de serigrafía en la Biblioteca Pública de Jalisco. colección permanente y temporal. familia. zona de descanso habilitada.
Concierto de Jazz con Exposición de Arte Contemporáneo,"Proyección de cine documental seguida de concierto de jazz en vivo. La exposición de arte permanecerá abierta durante el evento. Boletos disponibles en taquilla, zona VIP disponible. inscríbete ya.",cultural,Tonalá Artesanal,20.62478130939583,-103.21997587270374,2026-08-08T19:59:30.710492+00:00,50.0,https://cdn.gdlquehacer.mx/img/evento_03.jpg,0.9,"Concierto de Jazz con Exposición de Arte Contemporáneo Proyección de cine documental seguida de concierto de jazz en vivo. La exposición de arte permanecerá abierta durante el evento. Boletos disponibles en taquilla, zona VIP disponible. inscríbete ya."
Celebra el proyección de cine documental en Cabañas,Proyección de cine documental en el Centro Cultural Cabañas. actividades para niños y adultos. No te lo pierdas. domingo. inscripción gratuita en línea.,cultural,Lago de Chapala,,,2026-07-03T19:59:30.706047+00:00,100.0,https://cdn.gdlquehacer.mx/img/evento_03.jpg,0.7,Celebra el proyección de cine documental en Cabañas Proyección de cine documental en el Centro Cultural Cabañas. actividades para niños y adultos. No te lo pierdas. domingo. inscripción gratuita en línea.
Espectáculo de circo contemporáneo con maratón popular,Este fin de semana: espectáculo de circo contemporáneo en la Zona Rosa de Guadalajara. zona VIP disponible con compra anticipada. inscríbete ya.,entretenimiento,Parque Agua Azul,,,2026-05-30T19:59:30.709248+00:00,0.0,https://cdn.gdlquehacer.mx/img/evento_01.jpg,0.7,Espectáculo de circo contemporáneo con maratón popular Este fin de semana: espectáculo de circo contemporáneo en la Zona Rosa de Guadalajara. zona VIP disponible con compra anticipada. inscríbete ya.
Presentación de ballet clásico con noche de improvisación teatral,Este fin de semana: presentación de ballet clásico en el Instituto Cultural Cabañas. charla con el artista al finalizar. actividad gratuita.,cultural,Jardín Botánico GDL,20.675950516447884,-103.32247519942858,2026-08-09T19:59:30.705791+00:00,100.0,,0.7,Presentación de ballet clásico con noche de improvisación teatral Este fin de semana: presentación de ballet clásico en el Instituto Cultural Cabañas. charla con el artista al finalizar. actividad gratuita.
Clase masiva de zumba con feria de salud y bienestar,Clase masiva de zumba en la Unidad Deportiva Revolución. con hidratación y snacks incluidos. No te lo pierdas. estacionamiento gratuito en el venue.,deportivo,Parque Agua Azul,20.61666098578244,-103.3270091322617,2026-07-13T19:59:30.706498+00:00,,https://cdn.gdlquehacer.mx/img/evento_01.jpg,0.8,Clase masiva de zumba con feria de salud y bienestar Clase masiva de zumba en la Unidad Deportiva Revolución. con hidratación y snacks incluidos. No te lo pierdas. estacionamiento gratuito en el venue.
Torneo de pádel mixto en Azul,"Torneo de pádel mixto se presenta en el Parque Agua Azul. playera de participación incluida. Esta es una oportunidad única para vivir una experiencia cultural en el corazón de Guadalajara. Organizado por colectivos locales con más de diez años de trayectoria. Cupo limitado, reserva ya. zona de descanso habilitada.",deportivo,Plaza de Armas,20.61038673137868,-103.29922874050388,2026-06-08T19:59:30.706401+00:00,100.0,https://cdn.gdlquehacer.mx/img/evento_01.jpg,1.0,"Torneo de pádel mixto en Azul Torneo de pádel mixto se presenta en el Parque Agua Azul. playera de participación incluida. Esta es una oportunidad única para vivir una experiencia cultural en el corazón de Guadalajara. Organizado por colectivos locales con más de diez años de trayectoria. Cupo limitado, reserva ya. zona de descanso habilitada."
Noche de Comedia y Torneo de Basquetbol 3x3,"Concierto de música indie tapatía y carrera nocturna 10K en la Zona Rosa. Cronometraje oficial con chip, puertas abren a las 7 PM. Meet & greet con artistas incluido. al aire libre. con área de comida y bebidas.",entretenimiento,Expo Guadalajara,20.654652257453872,-103.38891966937786,2026-07-29T19:59:30.711434+00:00,0.0,https://cdn.gdlquehacer.mx/img/evento_02.jpg,1.0,"Noche de Comedia y Torneo de Basquetbol 3x3 Concierto de música indie tapatía y carrera nocturna 10K en la Zona Rosa. Cronometraje oficial con chip, puertas abren a las 7 PM. Meet & greet con artistas incluido. al aire libre. con área de comida y bebidas."
EXPO DE MASCOTAS Y ANIMALES CON CURSO DE HISTORIA DEL ARTE,Expo de mascotas y animales próximamente. fin de semana.,otro,Parque Metropolitano,20.60865507691347,-103.23770677356168,2026-05-14T19:59:30.709461+00:00,0.0,,0.495,EXPO DE MASCOTAS Y ANIMALES CON CURSO DE HISTORIA DEL ARTE Expo de mascotas y animales próximamente. fin de semana.
Cata de vinos regionales con clase masiva de zumba,"Descubre cata de vinos regionales en la Plaza de Armas. talleres en vivo durante el evento. Un evento imperdible para toda la comunidad tapatía, con actividades diseñadas para disfrutar en familia o con amigos. Entrada libre o boletos a precio accesible. ¡No te quedes fuera! cupo limitado. estacionamiento disponible.",gastronomico,Estadio Akron,20.68390832697976,-103.39642980727999,2026-06-22T19:59:30.707944+00:00,0.0,https://cdn.gdlquehacer.mx/img/evento_03.jpg,1.0,"Cata de vinos regionales con clase masiva de zumba Descubre cata de vinos regionales en la Plaza de Armas. talleres en vivo durante el evento. Un evento imperdible para toda la comunidad tapatía, con actividades diseñadas para disfrutar en familia o con amigos. Entrada libre o boletos a precio accesible. ¡No te quedes fuera! cupo limitado. estacionamiento disponible."
